,Date,Team 1,Team 2,Location,Day (Str)
0,2015-09-18,Amherst College,Connecticut College,Amherst College,Fri. 
1,2015-09-19,Amherst College,Tufts University,Amherst College,Sat. 
2,2015-10-02,Amherst College,Colby College,Amherst College,Fri. 
3,2015-10-03,Amherst College,Bates College,Amherst College,Sat. 
4,2015-10-16,Amherst College,Bowdoin College,Amherst College,Fri. 
5,2015-09-18,Bates College,Wesleyan University,Bates College,Fri. 
6,2015-09-19,Bates College,Trinity College,Bates College,Sat. 
7,2015-09-25,Bates College,Colby College,Bates College,Fri. 
8,2015-10-16,Bates College,Hamilton College,Bates College,Fri. 
9,2015-10-17,Bates College,Middlebury College,Bates College,Sat. 
10,2015-10-31,Bates College,Bowdoin College,Bates College,Sat. 
11,2015-10-02,Bowdoin College,Connecticut College,Bowdoin College,Fri. 
12,2015-10-03,Bowdoin College,Tufts University,Bowdoin College,Sat. 
13,2015-10-09,Bowdoin College,Trinity College,Bowdoin College,Fri. 
14,2015-10-10,Bowdoin College,Wesleyan University,Bowdoin College,Sat. 
15,2015-09-18,Colby College,Trinity College,Colby College,Fri. 
16,2015-09-19,Colby College,Wesleyan University,Colby College,Sat. 
17,2015-10-16,Colby College,Middlebury College,Colby College,Fri. 
18,2015-10-17,Colby College,Hamilton College,Colby College,Sat. 
19,2015-10-30,Colby College,Bowdoin College,"Waterville, Maine.",Fri. 
20,2015-10-09,Connecticut College,Colby College,Connecticut College,Fri. 
21,2015-10-10,Connecticut College,Bates College,Connecticut College,Sat. 
22,2015-10-16,Connecticut College,Trinity College,Connecticut College,Fri. 
23,2015-10-17,Connecticut College,Wesleyan University,Connecticut College,Sat. 
24,2015-09-19,Hamilton College,Bowdoin College,Hamilton College,Sat. 
25,2015-09-25,Hamilton College,Middlebury College,Hamilton College,Fri. 
26,2015-10-09,Hamilton College,Williams College,Hamilton College,Fri. 
27,2015-10-10,Hamilton College,Amherst College,Hamilton College,Sat. 
28,2015-10-30,Hamilton College,Tufts University,Hamilton College,Fri. 
29,2015-10-31,Hamilton College,Connecticut College,Hamilton College,Sat. 
30,2015-09-18,Middlebury College,Bowdoin College,Middlebury College,Fri. 
31,2015-10-09,Middlebury College,Amherst College,Middlebury College,Fri. 
32,2015-10-10,Middlebury College,Williams College,Middlebury College,Sat. 
33,2015-10-30,Middlebury College,Connecticut College,Middlebury College,Fri. 
34,2015-10-31,Middlebury College,Tufts University,Middlebury College,Sat. 
35,2015-10-02,Trinity College,Middlebury College,Trinity College,Fri. 
36,2015-10-03,Trinity College,Hamilton College,Trinity College,Sat. 
37,2015-10-30,Trinity College,Amherst College,Trinity College,Fri. 
38,2015-10-31,Trinity College,Williams College,Trinity College,Sat. 
39,2015-09-25,Tufts University,Connecticut College,Tufts University,Fri. 
40,2015-10-09,Tufts University,Bates College,Tufts University,Fri. 
41,2015-10-10,Tufts University,Colby College,Tufts University,Sat. 
42,2015-10-16,Tufts University,Wesleyan University,Tufts University,Fri. 
43,2015-10-17,Tufts University,Trinity College,Tufts University,Sat. 
44,2015-09-25,Wesleyan University,Trinity College,"(  ) Middletown, Conn.",Fri. 
45,2015-10-02,Wesleyan University,Hamilton College,Wesleyan University,Fri. 
46,2015-10-03,Wesleyan University,Middlebury College,Wesleyan University,Sat. 
47,2015-10-30,Wesleyan University,Williams College,Wesleyan University,Fri. 
48,2015-10-31,Wesleyan University,Amherst College,Wesleyan University,Sat. 
49,2015-09-18,Williams College,Tufts University,Williams College,Fri. 
50,2015-09-19,Williams College,Connecticut College,Williams College,Sat. 
51,2015-09-23,Williams College,Amherst College,Williams College,Wed. 
52,2015-10-02,Williams College,Bates College,Williams College,Fri. 
53,2015-10-03,Williams College,Colby College,Williams College,Sat. 
54,2015-10-17,Williams College,Bowdoin College,Williams College,Sat. 
