,Day (Str),Date,Team 1,Team 2,Location
0,Fri.,2013-09-20,Amherst College,Bowdoin College,Amherst College
1,Fri.,2013-09-20,Connecticut College,Wesleyan University,Connecticut College
2,Fri.,2013-09-20,Hamilton College,Colby College,Hamilton College
3,Fri.,2013-09-20,Tufts University,Trinity College,Tufts University
4,Fri.,2013-09-20,Williams College,Bates College,Williams College
5,Sat.,2013-09-21,Amherst College,Bates College,Amherst College
6,Sat.,2013-09-21,Connecticut College,Trinity College,Connecticut College
7,Sat.,2013-09-21,Middlebury College,Colby College,Middlebury College
8,Sat.,2013-09-21,Tufts University,Wesleyan University,Tufts University
9,Sat.,2013-09-21,Williams College,Bowdoin College,Williams College
10,Wed.,2013-09-25,Bates College,Bowdoin College,Bates College
11,Thu.,2013-09-26,Williams College,Amherst College,Williams College
12,Fri.,2013-09-27,Wesleyan University,Trinity College,Wesleyan University
13,Sat.,2013-09-28,Hamilton College,Middlebury College,Hamilton College
14,Sat.,2013-09-28,Tufts University,Connecticut College,Tufts University
15,Fri.,2013-10-04,Amherst College,Connecticut College,Amherst College
16,Fri.,2013-10-04,Colby College,Bowdoin College,Colby College
17,Fri.,2013-10-04,Trinity College,Hamilton College,Trinity College
18,Fri.,2013-10-04,Wesleyan University,Middlebury College,Wesleyan University
19,Fri.,2013-10-04,Williams College,Tufts University,Williams College
20,Sat.,2013-10-05,Amherst College,Tufts University,Amherst College
21,Sat.,2013-10-05,Colby College,Bates College,Colby College
22,Sat.,2013-10-05,Trinity College,Middlebury College,Trinity College
23,Sat.,2013-10-05,Wesleyan University,Hamilton College,Wesleyan University
24,Sat.,2013-10-05,Williams College,Connecticut College,Williams College
25,Fri.,2013-10-11,Bates College,Tufts University,Bates College
26,Fri.,2013-10-11,Bowdoin College,Connecticut College,Bowdoin College
27,Fri.,2013-10-11,Colby College,Wesleyan University,Colby College
28,Fri.,2013-10-11,Hamilton College,Williams College,Hamilton College
29,Fri.,2013-10-11,Middlebury College,Amherst College,Middlebury College
30,Sat.,2013-10-12,Bates College,Connecticut College,Bates College
31,Sat.,2013-10-12,Bowdoin College,Tufts University,Bowdoin College
32,Sat.,2013-10-12,Colby College,Trinity College,Colby College
33,Sat.,2013-10-12,Hamilton College,Amherst College,Hamilton College
34,Sat.,2013-10-12,Middlebury College,Williams College,Middlebury College
35,Fri.,2013-10-18,Amherst College,Colby College,Amherst College
36,Fri.,2013-10-18,Bates College,Trinity College,Bates College
37,Fri.,2013-10-18,Bowdoin College,Wesleyan University,Bowdoin College
38,Fri.,2013-10-18,Connecticut College,Middlebury College,Connecticut College
39,Fri.,2013-10-18,Tufts University,Hamilton College,Tufts University
40,Sat.,2013-10-19,Bates College,Wesleyan University,Bates College
41,Sat.,2013-10-19,Bowdoin College,Trinity College,Bowdoin College
42,Sat.,2013-10-19,Connecticut College,Hamilton College,Connecticut College
43,Sat.,2013-10-19,Tufts University,Middlebury College,Tufts University
44,Sat.,2013-10-19,Williams College,Colby College,Williams College
45,Fri.,2013-11-01,Connecticut College,Colby College,Connecticut College
46,Fri.,2013-11-01,Hamilton College,Bates College,Hamilton College
47,Fri.,2013-11-01,Middlebury College,Bowdoin College,Middlebury College
48,Fri.,2013-11-01,Trinity College,Williams College,Trinity College
49,Fri.,2013-11-01,Wesleyan University,Amherst College,Wesleyan University
50,Sat.,2013-11-02,Hamilton College,Bowdoin College,Hamilton College
51,Sat.,2013-11-02,Middlebury College,Bates College,Middlebury College
52,Sat.,2013-11-02,Trinity College,Amherst College,Trinity College
53,Sat.,2013-11-02,Tufts University,Colby College,Tufts University
54,Sat.,2013-11-02,Wesleyan University,Williams College,Wesleyan University
